configuration,Time,CF
fsst,31.3371,2.374670
fsst,41.2734,1.776820
fsst,34.2342,3.493460
fsst,30.7099,4.300200
fsst,32.3761,1.711190
fsst,37.8517,2.391680
fsst,32.8126,1.849980
fsst,29.0965,2.024740
fsst,28.5057,2.197330
fsst,36.6028,1.566460
fsst,37.8616,1.839340
fsst,37.4066,1.591020
fsst,34.132,2.742980
fsst,35.3947,2.052520
fsst,34.666,1.857550
fsst,29.5609,2.109170
fsst,38.7196,1.581440
fsst,32.6478,1.951890
fsst,34.0077,2.067040
fsst,37.7586,2.912230
fsst,31.014,1.791290
fsst,31.0429,2.863070
fsst,46.703,2.456660
BtrFSST,38.4483,1.794920
BtrFSST,47.6017,1.730370
BtrFSST,42.3427,2.817360
BtrFSST,36.9381,2.206330
BtrFSST,41.4061,1.725610
BtrFSST,46.2301,2.066620
BtrFSST,38.2986,1.850750
BtrFSST,36.3959,1.963010
BtrFSST,35.9075,2.167850
BtrFSST,42.1384,1.529220
BtrFSST,44.214,1.821240
BtrFSST,42.9785,1.530240
BtrFSST,41.1153,2.453890
BtrFSST,42.81,1.846370
BtrFSST,39.6944,1.851870
BtrFSST,38.6823,2.069250
BtrFSST,45.729,1.565080
BtrFSST,40.4445,1.953940
BtrFSST,43.163,1.642600
BtrFSST,43.6032,2.676910
BtrFSST,37.9636,1.772980
BtrFSST,35.9422,2.950710
BtrFSST,58.4293,1.663380
fsst_dp,34.1475,2.357440
fsst_dp,67.2298,1.788120
fsst_dp,62.3357,3.683870
fsst_dp,52.3148,4.374410
fsst_dp,40.4638,1.727320
fsst_dp,64.2917,2.360800
fsst_dp,37.3778,1.847950
fsst_dp,33.5852,2.028510
fsst_dp,34.4765,2.224110
fsst_dp,54.7131,1.571840
fsst_dp,57.8504,1.836880
fsst_dp,56.7216,1.598040
fsst_dp,57.7428,2.749450
fsst_dp,54.9868,2.029110
fsst_dp,35.2483,1.853320
fsst_dp,32.4769,2.135510
fsst_dp,58.2603,1.594780
fsst_dp,32.0322,1.975370
fsst_dp,49.1014,2.057540
fsst_dp,65.048,3.041040
fsst_dp,34.5666,1.810460
fsst_dp,38.46,2.882620
fsst_dp,92.1131,2.551210
BtrFSST_dp,39.551,1.992850
BtrFSST_dp,72.0393,1.788940
BtrFSST_dp,62.4215,3.047910
BtrFSST_dp,45.8268,2.239380
BtrFSST_dp,43.036,1.744680
BtrFSST_dp,67.6556,2.130300
BtrFSST_dp,43.6852,1.850750
BtrFSST_dp,38.2612,2.018660
BtrFSST_dp,36.5815,2.213600
BtrFSST_dp,56.1741,1.579340
BtrFSST_dp,61.0049,1.831100
BtrFSST_dp,63.3244,1.596390
BtrFSST_dp,57.1621,2.529840
BtrFSST_dp,65.4381,1.936350
BtrFSST_dp,43.6984,1.852160
BtrFSST_dp,38.7949,2.110560
BtrFSST_dp,63.4214,1.591750
BtrFSST_dp,38.1952,1.986740
BtrFSST_dp,53.3225,1.796020
BtrFSST_dp,70.5549,2.836430
BtrFSST_dp,39.3695,1.801370
BtrFSST_dp,43.0465,2.952720
BtrFSST_dp,92.7212,1.767660
BtrFSST_dp-only,35.2422,2.375780
BtrFSST_dp-only,68.5446,1.804970
BtrFSST_dp-only,61.0667,3.741900
BtrFSST_dp-only,51.3896,4.373800
BtrFSST_dp-only,39.4496,1.738330
BtrFSST_dp-only,65.3696,2.360800
BtrFSST_dp-only,38.3682,1.847950
BtrFSST_dp-only,34.715,2.025590
BtrFSST_dp-only,34.0609,2.226300
BtrFSST_dp-only,53.4534,1.574150
BtrFSST_dp-only,58.146,1.844320
BtrFSST_dp-only,56.7225,1.592320
BtrFSST_dp-only,52.9738,2.751390
BtrFSST_dp-only,56.3156,2.027430
BtrFSST_dp-only,36.5585,1.854680
BtrFSST_dp-only,34.0341,2.140840
BtrFSST_dp-only,59.6773,1.591600
BtrFSST_dp-only,35.2654,1.982450
BtrFSST_dp-only,51.4066,2.059620
BtrFSST_dp-only,67.9727,3.041240
BtrFSST_dp-only,36.7094,1.808690
BtrFSST_dp-only,37.4417,2.627430
BtrFSST_dp-only,95.1938,2.531390
